music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.035035199998674216,29.149621199998364,,,,,,,,,,,,,,,,,,,,,,,,,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
,,,,,,,,,29.149641499998324,29.155230699998356,41.15091919999941,,,,,,,,,,,,,,,,,,,,,,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_p_003.wav,0,0,0,6,41.21602949999942,,,,,,,41.16458049999892,41.21602949999942,53.15128049999839,53.21792109999842,65.15170699999908,65.15169826666558,65.15170699999908,77.1565202999991,77.1565202999991,77.15230116666523,77.1565202999991,89.31110679999983,89.31110679999983,89.31110679999983,89.35968689999936,95.1803893999986,95.36962679999851,95.36962679999851,101.15320709999833,None,5,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_n_001.wav,0,1,1,4,101.1852633999988,,,,,,,101.15354299999854,101.1852633999988,113.15359089999947,113.1869558999988,125.15415949999988,125.15417656666638,125.15415949999988,137.1623869999985,137.1623869999985,137.1569599666657,137.1623869999985,149.22093219999988,149.22093219999988,149.22093219999988,149.2670417999998,155.1862390999995,155.3010895999996,155.3010895999996,161.15567029999875,None,2,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_p_002.wav,0,2,2,5,161.1902913999984,,,,,,,161.15590519999932,161.1902913999984,173.15605399999913,173.18925619999936,185.156324399999,185.15651446666587,185.156324399999,197.16255459999957,197.16255459999957,197.15693736666643,197.16255459999957,209.20635399999992,209.20635399999992,209.20635399999992,209.25367839999853,215.20948899999894,215.2582668999985,215.2582668999985,221.15779609999845,None,4,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_n_002.wav,0,3,3,1,221.1920128999991,,,,,,,221.15803869999945,221.1920128999991,233.158154499999,233.19149709999874,245.1586284999994,245.16106846666506,245.1586284999994,257.18257079999967,257.15904129999944,257.159009166666,257.15904129999944,269.2135727999994,269.2135727999994,269.2135727999994,269.2135727999994,275.19890999999916,275.26188249999905,275.26188249999905,281.15999889999875,None,2,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_n_004.wav,0,4,4,2,281.1935735999996,,,,,,,281.16022899999916,281.1935735999996,293.1603908999987,293.19380889999957,305.1608473999986,305.1608756666667,305.1608473999986,317.16237419999925,317.16237419999925,317.16131126666573,317.16237419999925,329.20396549999896,329.20396549999896,329.20396549999896,329.20396549999896,335.19236999999885,335.23776929999985,335.23776929999985,341.1621955999999,None,2,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_n_003.wav,0,5,5,0,341.2034315000001,,,,,,,341.1624361999984,341.2034315000001,353.16259399999944,353.2126069999995,365.16310149999845,365.1630522666658,365.16310149999845,377.17254239999966,377.17254239999966,377.149187166666,377.14924449999853,389.21486769999865,389.21486769999865,389.21486769999865,389.21486769999865,395.1833771999991,395.27913909999916,395.27913909999916,401.16454239999985,None,3,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_p_001.wav,0,6,6,3,401.2005752999994,,,,,,,401.1647976999993,401.2005752999994,413.16482670000005,413.1981762999985,425.16538259999834,425.16529256666604,425.16538259999834,437.17165079999904,437.17165079999904,437.1490209666665,437.14902939999956,449.19250399999873,449.19250399999873,449.19250399999873,449.19250399999873,455.22314299999925,455.2716899999996,455.2716899999996,461.1498656999993,None,5,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
audio/music_sample_p_004.wav,0,7,7,7,461.1814256999987,,,,,,,461.15010299999994,461.1814256999987,473.15024659999835,473.18362389999857,485.1507692999985,485.1506493666659,485.1507692999985,497.15173609999874,497.15173609999874,497.1512616666662,497.15173609999874,509.19174119999843,509.19174119999843,509.19174119999843,509.19174119999843,515.1884266999987,515.2327263999996,515.2327263999996,521.1521068999991,None,4,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
,,,,,,,,,521.1522263999996,521.168753599999,533.1525262999985,,,,,,,,,,,,,,,,,,,,,,loc003,001,True,True,2024-09-13_15h56.22.210,localizer,2024.1.5,None,2024-09-13 15h56.49.649735 +0100,
