music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,text_discard.stopped,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,text_mi.stopped,sound_noise.started,text_noise.started,sound_music.started,text_music.started,sound_noise.stopped,text_noise.stopped,sound_music.stopped,text_music.stopped,image_report.started,key_resp_rating.started,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04628029999997807,12.854228699999965,,,,,,,,,,,,,,,,,,,,,,,,,,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
,,,,,,,,,12.85424949999998,12.860201899999993,24.9177641,24.852561100000003,,,,,,,,,,,,,,,,,,,,,,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_p_004.wav,0,0,0,7,24.9177641,,,,,,,,24.865028499999994,24.9177641,36.86939419999999,36.91938160000001,48.8698119,48.869817966666645,48.8698119,60.85354546666663,60.8536833,60.87466389999997,60.87466389999997,73.0865718,73.0865718,73.0865718,73.0865718,78.91350690000002,79.1700621,79.1700621,84.85445390000001,None,5,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_n_002.wav,0,1,1,1,84.88920869999998,,,,,,,,84.85479179999999,84.88920869999998,96.87150589999999,96.9048128,108.8669835,108.85523306666666,108.85522750000001,120.85570716666668,120.86414049999996,120.86414049999996,120.86414049999996,132.9105353,132.9633627,132.9105353,132.9105353,138.8897996,138.9900169,138.9900169,144.85653689999998,None,3,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_n_003.wav,0,2,2,0,144.8909357,,,,,,,,144.856805,144.8909357,156.8569263,156.89025420000002,168.85733449999998,168.85729666666666,168.85733449999998,180.85778076666665,180.86550649999998,180.86550649999998,180.86550649999998,192.9192774,192.96946989999998,192.9192774,192.9192774,198.92221359999996,198.9682643,198.9682643,204.8706414,None,2,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_n_004.wav,0,3,3,2,204.91538479999997,,,,,,,,204.8710929,204.91538479999997,216.85905609999998,216.92571909999998,228.85946819999998,228.8594495666667,228.85946819999998,240.85986566666665,240.86394649999994,240.86394649999994,240.86394649999994,252.9614184,252.9614184,252.896903,252.896903,258.8950011,258.94590639999996,258.94590639999996,264.85596849999996,None,1,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_p_001.wav,0,4,4,3,264.8891617,,,,,,,,264.85622599999994,264.8891617,276.8611262,276.89447149999995,288.86157009999994,288.8615652666667,288.86157009999994,300.86196436666665,300.86390449999993,300.86390449999993,300.86390449999993,312.9103207,312.96074989999994,312.9103207,312.9103207,318.94317199999995,318.9909866,318.9909866,324.86286490000003,None,5,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_p_003.wav,0,5,5,6,324.89615739999994,,,,,,,,324.8631258,324.89615739999994,336.8632534,336.89654809999996,348.8635664,348.86367006666666,348.8635664,360.85935696666667,360.8593365,360.88473759999994,360.88473759999994,372.91238100000004,372.91238100000004,372.91238100000004,372.91238100000004,378.89623279999995,378.94590969999996,378.94590969999996,384.8649578,None,5,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_p_002.wav,0,6,6,5,384.89929639999997,,,,,,,,384.8651971,384.89929639999997,396.86532700000004,396.9105576,408.87773339999995,408.8612170666666,408.86115620000004,420.86150946666663,420.8655633,420.8655633,420.8655633,432.9143496,432.96840349999997,432.9143496,432.9143496,438.90803109999996,438.9569466,438.9569466,444.86716140000004,None,4,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
audio/music_sample_n_001.wav,0,7,7,4,444.9033983,,,,,,,,444.8674435,444.9033983,456.86275870000003,456.91268369999995,468.86314980000003,468.86315616666667,468.86314980000003,480.8634363666667,480.86554970000003,480.86554970000003,480.86554970000003,492.9210986,492.9210986,492.9210986,492.9210986,498.9374036,498.98693499999996,498.98693499999996,504.8691879,None,2,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
,,,,,,,,,504.86934019999995,504.88091660000003,,516.8697003,,,,,,,,,,,,,,,,,,,,,,loc555,001,True,True,2024-10-08_15h56.40.601,localizer,2024.1.5,None,2024-10-08 15h57.20.333047 +0100,
