music_samples,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trigger.started,trigger.stopped,discard.started,text_discard.started,discard.stopped,trial.started,text_rest.started,text_mi.started,text_rest.stopped,sound_noise.started,text_noise.started,text_mi.stopped,sound_noise.stopped,text_noise.stopped,sound_music.started,text_music.started,sound_music.stopped,image_report.started,key_resp_rating.started,text_music.stopped,text_inter.started,image_report.stopped,key_resp_rating.stopped,trial.stopped,key_resp_rating.keys,image_rating_idx,participant,session,trigger,response_box,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.04147950000015044,28.147311100000024,,,,,,,,,,,,,,,,,,,,,,,,,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
,,,,,,,,,28.147331300000133,28.154455900000357,40.15407060000007,,,,,,,,,,,,,,,,,,,,,,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_n_003.wav,0,0,0,0,40.225722099999984,,,,,,,40.174711500000285,40.225722099999984,52.15374930000007,52.232280400000036,64.14946466666676,64.14942710000014,64.16609830000016,76.15694610000037,76.15694610000037,76.14990356666682,76.15694610000037,88.40911000000006,88.40911000000006,88.40911000000006,88.46629120000034,94.19016869999996,94.46345990000009,94.46345990000009,100.15584460000036,None,2,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_n_004.wav,0,1,1,2,100.19633850000037,,,,,,,100.15643080000018,100.19633850000037,112.15111350000006,112.20110040000009,124.15141686666699,124.15617980000025,124.15617980000025,136.15682520000018,136.16864560000022,136.15195986666666,136.15682520000018,148.20925370000032,148.20925370000032,148.20925370000032,148.2656978,154.1999933000002,154.25064360000033,154.25064360000033,160.15758000000005,None,2,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_p_004.wav,0,2,2,7,160.19229110000015,,,,,,,160.15783200000033,160.19229110000015,172.15788169999996,172.20788690000018,184.1583335666667,184.15833750000002,184.15833750000002,196.17541819999997,196.17541819999997,196.15404046666688,196.15404720000015,208.2068830000003,208.2068830000003,208.2068830000003,208.2068830000003,214.21599250000008,214.2648962000003,214.2648962000003,220.15969330000007,None,4,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_p_001.wav,0,3,3,3,220.1944536000001,,,,,,,220.15994640000008,220.1944536000001,232.16002310000022,232.21001400000023,244.15556986666687,244.15560930000038,244.17229810000026,256.1651144000002,256.1651144000002,256.1560837666668,256.1651144000002,268.21418740000036,268.21418740000036,268.21418740000036,268.26874799999996,274.1895043000004,274.29459540000016,274.29459540000016,280.16171350000013,None,4,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_n_001.wav,0,4,4,4,280.19899540000006,,,,,,,280.1619644000002,280.19899540000006,292.16208440000037,292.2120983,304.16245366666703,304.16247810000004,304.16247810000004,316.16414699999996,316.16414699999996,316.16284376666704,316.16414699999996,328.2633646000004,328.19860370000015,328.19860370000015,328.2633646000004,334.2248654,334.27855750000026,334.27855750000026,340.1475327000003,None,4,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_p_002.wav,0,5,5,5,340.1887984,,,,,,,340.14804140000024,340.1887984,352.1426881000002,352.1926046000003,364.1479503666667,364.14789410000003,364.14789410000003,376.1540924000001,376.1540924000001,376.14823476666675,376.1540924000001,388.20064100000036,388.20064100000036,388.20064100000036,388.2735697000003,394.21912040000007,394.27234420000013,394.27234420000013,400.1611681000004,None,5,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_p_003.wav,0,6,6,6,400.2008667,,,,,,,400.16156090000004,400.2008667,412.1496763,412.21634240000003,424.1503409666668,424.1503388000001,424.1503388000001,436.1540337000001,436.1540337000001,436.15110596666705,436.1540337000001,448.2019144000001,448.2019144000001,448.2019144000001,448.2808834000002,454.22044270000015,454.26950160000024,454.26950160000024,460.1521474000001,None,4,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
audio/music_sample_n_002.wav,0,7,7,1,460.18760450000036,,,,,,,460.15240489999996,460.18760450000036,472.1523053000001,472.2023148000003,484.147307566667,484.1472898000002,484.1639521000002,496.1540705000002,496.1540705000002,496.1531359666667,496.1540705000002,508.2607548000001,508.19356270000026,508.19356270000026,508.2607548000001,514.2173270000003,514.2680230000001,514.2680230000001,520.1541236000003,None,2,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
,,,,,,,,,520.1542481000001,520.1707155000004,532.154462,,,,,,,,,,,,,,,,,,,,,,loc666,001,True,True,2024-10-11_15h48.44.690,localizer,2024.1.5,None,2024-10-11 15h48.56.028476 +0100,
